"ii","Dim2","rr","Val"
"isr","oap","USA",-0.0322813933641782
"isr","oap","MEX",-0.0734415793025627
"isr","oap","BRA",-0.0158562743022747
"isr","oap","RUS",-0.018611061473398
"isr","oap","LAM",-0.00299430954311342
"isr","oap","EUR",-0.00100682866577237
"isr","oap","ROE",-0.00133974680341764
"isr","oap","ANZ",-0.0045916841273242
"isr","oap","MES",-0.0174409948850672
"isr","oap","AFR",-0.00695697608793514
"isr","oap","IDZ",-0.0048264217339985
"isr","rmk","CHN",-0.015239375573355
"isr","rmk","JPN",-0.0184053470695961
"isr","rmk","KOR",-0.010118406958317
"isr","rmk","CAN",-0.0173325250986124
"isr","rmk","USA",-0.0363135628781476
"isr","rmk","MEX",-0.0720614558974918
"isr","rmk","BRA",-0.0167623973751461
"isr","rmk","RUS",-0.0334366207222865
"isr","rmk","LAM",-0.00195024114566426
"isr","rmk","EUR",-0.00155064210877528
"isr","rmk","ROE",-0.00261806424338771
"isr","rmk","ANZ",-0.00394435612807804
"isr","rmk","MES",-0.0135844011220305
"isr","rmk","AFR",-0.00516188627701228
"isr","wol","CHN",-0.0155132897888356
"isr","wol","JPN",-0.0189258205962869
"isr","wol","KOR",-0.0116461068046774
"isr","wol","BRA",-0.00589193037388402
"isr","wol","RUS",-0.0194407628251553
"isr","wol","LAM",-0.000510262112849197
"isr","wol","EUR",-0.00428413135550261
"isr","wol","ROE",-0.000345507740998441
"isr","wol","ANZ",-0.00586253449042069
"isr","wol","AFR",-0.00611532211003674
"isr","coa","LAM",2.70129640570441E-8
"isr","coa","ROE",-4.15745315306441E-11
"isr","coa","ASI",-2.83126963587215E-8
"isr","coa","REA",-2.26264477061316E-7
"isr","oil","AFR",6.10149376167977E-7
"isr","gas","KOR",8.27918767032365E-6
"isr","gas","LAM",4.7085499050274E-10
"isr","gas","EUR",2.80009340761743E-10
"isr","gas","AFR",-6.2382180704939E-7
"isr","omn","ASI",2.36022978169091E-7
"isr","cmt","EUR",-9.79640336134518E-10
"isr","sgr","REA",4.35748781428802E-8
"isr","p_c","LAM",-3.64782921225746E-9
"isr","nmm","AFR",-5.54057018089993E-11
"isr","i_s","REA",1.06084634660496E-7
"isr","i_s","AFR",-7.46828263279325E-10
"isr","nfm","LAM",6.12637618817236E-8
"isr","nfm","ASI",-8.69917981620858E-7
"isr","nfm","AFR",-7.5930635264168E-11
