"Dim1"
"CHN"
"JPN"
"KOR"
"TWN"
"IND"
"CAN"
"USA"
"MEX"
"BRA"
"RUS"
"LAM"
"EUR"
"ROE"
"ASI"
"REA"
"ANZ"
"MES"
"AFR"
"IDZ"
