"ii","rr","ss","Val"
"rmk","IND","MES",-0.016393409706287
"rmk","IND","AFR",-0.0163934215746546
"rmk","IND","IDZ",-0.0163934478613392
"rmk","CAN","CHN",0.000364976029764983
"rmk","CAN","JPN",0.000364972373308903
"rmk","CAN","KOR",0.00036498447346911
"rmk","CAN","TWN",0.000364919956137744
"rmk","CAN","IND",0.000364949691505911
"rmk","CAN","USA",0.000364947829100015
"rmk","CAN","MEX",0.000364969472329335
"rmk","CAN","BRA",0.000364949232954936
"rmk","CAN","RUS",0.000364974387121353
"rmk","CAN","LAM",0.000364973619653664
"rmk","CAN","EUR",0.00036496042814163
"rmk","CAN","ROE",0.000364954911653783
"rmk","CAN","ASI",0.000364959642547784
"rmk","CAN","REA",0.000364965634752753
"rmk","CAN","ANZ",0.000364995600937099
"rmk","CAN","MES",0.000364950827187762
"rmk","CAN","AFR",0.000364948833720834
"rmk","CAN","IDZ",0.000364922104051701
"rmk","USA","CHN",-0.000194634986146673
"rmk","USA","JPN",-0.000194640036152105
"rmk","USA","KOR",-0.000194653524941524
"rmk","USA","TWN",-0.000194580734617533
"rmk","USA","IND",-0.000194616749520815
"rmk","USA","CAN",-0.00019465465505264
"rmk","USA","MEX",-0.000194632444676879
"rmk","USA","BRA",-0.000194599814911101
"rmk","USA","RUS",-0.000194655148898937
"rmk","USA","LAM",-0.000194628834571782
"rmk","USA","EUR",-0.000194629640383324
"rmk","USA","ROE",-0.000194623518185271
"rmk","USA","ASI",-0.000194600965738416
"rmk","USA","REA",-0.000194628466249169
"rmk","USA","ANZ",-0.000194597121298059
"rmk","USA","MES",-0.000194624860130354
"rmk","USA","AFR",-0.000194619222399427
"rmk","USA","IDZ",-0.000194635348520711
"rmk","RUS","CHN",-0.0617854218817567
"rmk","RUS","JPN",-0.0617853842903362
"rmk","RUS","KOR",-0.061785376342826
"rmk","RUS","TWN",-0.0617854312491373
"rmk","RUS","IND",-0.0617854121827095
"rmk","RUS","CAN",-0.0617853918328644
"rmk","RUS","USA",-0.0617854432686968
"rmk","RUS","MEX",-0.0617854054352425
"rmk","RUS","BRA",-0.0617853990176547
"rmk","RUS","LAM",-0.0617854085304192
"rmk","RUS","EUR",-0.0617854027900667
"rmk","RUS","ROE",-0.0617853957622627
"rmk","RUS","ASI",-0.0617853979751952
"rmk","RUS","REA",-0.061785405318008
"rmk","RUS","ANZ",-0.0617854210329894
"rmk","RUS","MES",-0.0617853951860582
"rmk","RUS","AFR",-0.0617853959541434
"rmk","RUS","IDZ",-0.0617854466934797
"rmk","LAM","CHN",7.47769804789449E-5
"rmk","LAM","JPN",8.08180732666729E-5
"rmk","LAM","KOR",5.73497948372727E-5
"rmk","LAM","IND",8.47511031254793E-5
"rmk","LAM","CAN",5.0632109782566E-5
"rmk","LAM","USA",5.28165914278476E-5
"rmk","LAM","MEX",6.35882323897041E-5
"rmk","LAM","BRA",2.52688100819433E-5
"rmk","LAM","RUS",4.93219782777153E-5
"rmk","LAM","LAM",3.87871124859436E-5
"rmk","LAM","EUR",4.48455015274816E-6
"rmk","LAM","ROE",7.61325420519026E-5
"rmk","LAM","ASI",2.9971265743417E-5
"rmk","LAM","ANZ",5.54362610061604E-5
"rmk","LAM","MES",1.80815727273549E-5
"rmk","LAM","AFR",3.26597452006897E-5
"rmk","LAM","IDZ",0.000131534756966381
"rmk","EUR","CHN",-4.55656715123768E-5
"rmk","EUR","JPN",-2.3923510792904E-5
"rmk","EUR","KOR",-0.000626165369813828
"rmk","EUR","TWN",-3.05248924303201E-5
"rmk","EUR","IND",-2.29367601230506E-5
"rmk","EUR","CAN",-1.80702265375587E-5
"rmk","EUR","USA",-1.86494328921676E-5
"rmk","EUR","MEX",-2.47840871769194E-8
"rmk","EUR","BRA",-9.79472865527878E-6
"rmk","EUR","RUS",-1.12615860207579E-5
"rmk","EUR","LAM",-9.2899974015094E-6
"rmk","EUR","EUR",-9.23540167346281E-6
"rmk","EUR","ROE",-9.66792992506465E-6
"rmk","EUR","ASI",-2.7601773724895E-5
"rmk","EUR","REA",-6.93153037268676E-6
"rmk","EUR","ANZ",-7.99660263799193E-6
"rmk","EUR","MES",-1.33213324565295E-5
"rmk","EUR","AFR",-8.50609109672009E-6
"rmk","EUR","IDZ",-1.23879225397736E-5
"rmk","ROE","CHN",0.00336194578709249
"rmk","ROE","JPN",-0.000253675142321736
"rmk","ROE","KOR",0.00251381478528887
"rmk","ROE","TWN",0.00128910480582426
"rmk","ROE","IND",1.42172008253133E-6
"rmk","ROE","CAN",-0.000489700437202497
"rmk","ROE","USA",0.000209863542283953
"rmk","ROE","MEX",-0.000672490218462156
"rmk","ROE","BRA",-5.80665096409612E-5
"rmk","ROE","RUS",0.00456724365664881
"rmk","ROE","LAM",0.0016222429693895
"rmk","ROE","EUR",0.00162172712263724
"rmk","ROE","ROE",0.00141892237924975
"rmk","ROE","ASI",0.00225617547506944
"rmk","ROE","REA",0.00172945282099711
"rmk","ROE","ANZ",0.000177904628978394
"rmk","ROE","MES",0.00163611930201904
"rmk","ROE","AFR",0.00155366503106668
"rmk","ROE","IDZ",0.00148263655380317
"rmk","REA","CHN",-0.0073219080932769
"rmk","REA","JPN",-0.00733444012845528
"rmk","REA","KOR",-0.00725261767826924
"rmk","REA","TWN",-0.00451171608144993
"rmk","REA","IND",-0.00734099250060176
"rmk","REA","CAN",-0.00726684368746752
"rmk","REA","USA",-0.00727972089015407
"rmk","REA","MEX",-0.00731260376459329
"rmk","REA","BRA",-0.00735805484786876
"rmk","REA","RUS",-0.00727951670260387
"rmk","REA","LAM",-0.00726976679376594
"rmk","REA","EUR",-0.00724807656437891
"rmk","REA","ROE",-0.00715673214611238
"rmk","REA","ASI",-0.00725365979027536
"rmk","REA","REA",-0.00728030097615826
"rmk","REA","ANZ",-0.0072929921278524
"rmk","REA","MES",-0.00661593809328777
"rmk","REA","AFR",-0.00725670063756715
"rmk","REA","IDZ",-0.00732794404544736
"rmk","MES","CHN",-0.000119514280407381
"rmk","MES","JPN",-0.000119837664179586
"rmk","MES","KOR",-0.000122556494641765
"rmk","MES","TWN",-0.000270936445686274
"rmk","MES","IND",-0.000129809855253832
"rmk","MES","CAN",-0.000121369249936842
"rmk","MES","USA",-0.000166696023201651
"rmk","MES","MEX",-0.000117428716141078
"rmk","MES","BRA",-0.000116454940373133
"rmk","MES","RUS",-0.000119239625945684
"rmk","MES","LAM",-0.000100293681231553
"rmk","MES","EUR",-0.000149135201274273
"rmk","MES","ROE",-0.000115795708607911
"rmk","MES","ASI",-0.000128095165067372
"rmk","MES","REA",-7.38580100176967E-5
"rmk","MES","ANZ",-0.000121018917050959
"rmk","MES","MES",-0.000142540151372065
"rmk","MES","AFR",-9.68699585930538E-5
"rmk","MES","IDZ",-0.000120912255728606
"rmk","AFR","CHN",-0.00623702982089021
"rmk","AFR","JPN",-0.00148847643634976
"rmk","AFR","KOR",-0.00482857075326833
"rmk","AFR","TWN",-0.00269611677939533
"rmk","AFR","IND",-0.00211385818574064
"rmk","AFR","CAN",-0.00209267060841405
"rmk","AFR","USA",-0.00395931598855404
"rmk","AFR","MEX",-0.0015317384533482
"rmk","AFR","BRA",-0.00209908982600627
"rmk","AFR","RUS",-0.00199331703901831
"rmk","AFR","LAM",-0.00305944325508222
"rmk","AFR","EUR",-0.00258094990804919
"rmk","AFR","ROE",-0.00306875919808328
"rmk","AFR","ASI",-0.00423247925647466
"rmk","AFR","REA",-0.00292294434441207
