"ii","Dim2","rr","Val"
"coa","rmk","RUS",8.44722890178673E-5
"coa","rmk","LAM",0.00081900623627007
"coa","rmk","EUR",0.0165361916347138
"coa","rmk","ROE",2.79436117125442E-5
"coa","rmk","ANZ",7.63609727982839E-6
"coa","rmk","AFR",0.000479009246191708
"coa","wol","CHN",0.0499227270483971
"coa","wol","IND",0.000103154336102307
"coa","wol","RUS",2.0626839614124E-5
"coa","wol","LAM",0.00012206680548843
"coa","wol","EUR",0.000245276618670687
"coa","wol","ROE",4.27269287683885E-6
"coa","wol","AFR",0.000110722339741187
"coa","frs","CHN",0.0262285992503166
"coa","frs","RUS",0.000111799367005005
"coa","frs","LAM",2.58863401541021E-5
"coa","frs","EUR",0.0287886345577135
"coa","frs","ROE",5.3558568652079E-5
"coa","frs","REA",0.000250193988904357
"coa","frs","ANZ",1.95861612155568E-5
"coa","frs","MES",7.38645303499652E-6
"coa","frs","AFR",0.000536965802893974
"coa","fsh","CHN",0.0258082933723927
"coa","fsh","JPN",1.09183183667483E-5
"coa","fsh","RUS",2.48416527028894E-5
"coa","fsh","LAM",8.48399904498365E-5
"coa","fsh","EUR",0.00111046746610555
"coa","fsh","ROE",4.97666369483341E-5
"coa","fsh","REA",5.59128638997208E-5
"coa","fsh","ANZ",3.79722405341454E-6
"coa","fsh","MES",1.59641713253222E-5
"coa","fsh","AFR",7.43193036214507E-5
"coa","coa","CHN",1.73718249797821
"coa","coa","KOR",5.57681096324814E-6
"coa","coa","IND",0.0463830195367336
"coa","coa","CAN",2.72186098300153E-5
"coa","coa","USA",0.000205252144951373
"coa","coa","MEX",6.82463087287033E-6
"coa","coa","BRA",1.52160819197888E-5
"coa","coa","RUS",0.00300596840679646
"coa","coa","LAM",1.8821187040885E-5
"coa","coa","EUR",0.0171561733604904
"coa","coa","ROE",0.000980349662313529
"coa","coa","REA",0.000142103745019995
"coa","coa","ANZ",0.000171982980191387
"coa","coa","MES",0.000185626762686297
"coa","coa","AFR",0.00548472269292688
"coa","oil","CHN",0.00175599928479642
"coa","oil","BRA",3.75177774003532E-6
"coa","oil","RUS",1.07515552372206E-5
"coa","oil","LAM",0.00107937915436196
"coa","oil","EUR",0.000439536142721408
"coa","oil","REA",0.000112362824438605
"coa","gas","CHN",0.252981315134093
"coa","gas","JPN",0.000727200240362436
"coa","gas","IND",0.000879642291693017
"coa","gas","USA",0.00175421952735633
"coa","gas","BRA",8.37479547044495E-6
"coa","gas","RUS",6.20664504822344E-5
"coa","gas","LAM",0.000289677501314145
"coa","gas","EUR",0.00591309283822739
"coa","gas","ROE",0.000335534718260533
"coa","gas","ASI",0.000305014153127559
"coa","gas","REA",5.72158796785516E-6
"coa","gas","ANZ",0.000203436924493872
"coa","gas","MES",0.000673347021802329
"coa","gas","AFR",0.0608771271474779
"coa","omn","CHN",0.186034398153424
"coa","omn","JPN",0.00068342627491802
"coa","omn","TWN",6.90566666889936E-5
"coa","omn","IND",0.067827045917511
"coa","omn","CAN",3.29102877003606E-5
"coa","omn","BRA",0.110908374190331
"coa","omn","RUS",7.69978069001809E-5
"coa","omn","LAM",0.0522328849197038
"coa","omn","EUR",0.119677173514447
"coa","omn","ROE",0.00298608392404276
"coa","omn","ASI",0.000457268033642322
"coa","omn","REA",0.00364581742178416
"coa","omn","ANZ",0.000899430073332042
"coa","omn","MES",6.56133288430283E-5
"coa","omn","AFR",0.0034947488288708
"coa","cmt","CHN",0.00380086611949082
"coa","cmt","KOR",9.65786603046581E-5
"coa","cmt","IND",0.00572670716792345
"coa","cmt","CAN",8.17378531792201E-6
"coa","cmt","USA",7.74739528424107E-5
"coa","cmt","BRA",0.000179940441739745
"coa","cmt","RUS",0.000132597648189403
"coa","cmt","LAM",0.00247062061953329
"coa","cmt","EUR",0.0243788302957455
"coa","cmt","ROE",0.00115245592451174
"coa","cmt","REA",3.00010788123473E-5
"coa","cmt","ANZ",0.000721519434591755
"coa","cmt","MES",9.22657454793807E-6
"coa","cmt","AFR",0.000109047296064091
"coa","omt","CHN",0.00584895460269763
"coa","omt","KOR",0.000216691812966019
"coa","omt","IND",0.000513369683176279
"coa","omt","USA",6.67529093334451E-6
"coa","omt","BRA",3.33258212776855E-5
"coa","omt","RUS",2.17084925679956E-5
"coa","omt","LAM",0.0030525961406056
"coa","omt","EUR",0.0400935981483599
"coa","omt","ROE",0.000440832164713356
"coa","omt","REA",2.40227832364326E-5
"coa","omt","ANZ",0.000232703860092442
"coa","omt","MES",3.66696440323722E-6
"coa","omt","AFR",5.71621167182457E-5
"coa","vol","CHN",0.0563647039234638
"coa","vol","JPN",2.45795745286159E-5
"coa","vol","KOR",0.000138592979055829
"coa","vol","TWN",2.30373570957454E-5
"coa","vol","IND",0.0510338768362999
"coa","vol","CAN",7.71606355556287E-5
"coa","vol","USA",0.000420723663410172
"coa","vol","BRA",0.00675736647099257
"coa","vol","RUS",2.74596404779004E-5
"coa","vol","LAM",0.00464647385933858
"coa","vol","EUR",0.0229279332779697
"coa","vol","ROE",0.0316588499008503
"coa","vol","ASI",0.0583830535179004
"coa","vol","REA",0.0111357426717404
"coa","vol","ANZ",3.63114922947716E-5
"coa","vol","MES",9.58248201641254E-5
"coa","vol","AFR",0.000577182594952319
"coa","mil","CHN",0.0696097354521044
"coa","mil","JPN",4.84286683786195E-5
"coa","mil","KOR",0.000414838286815211
"coa","mil","IND",0.0551609992980957
